threshold,tp,fn,fp,tn,precision,recall,f1,accuracy,letter
0.1,139,3,46,87,0.7513513513513513,0.9788732394366197,0.8501529051987767,0.8218181818181818,a
0.15000000000000002,139,3,44,89,0.7595628415300546,0.9788732394366197,0.8553846153846154,0.8290909090909091,a
0.20000000000000004,139,3,41,92,0.7722222222222223,0.9788732394366197,0.8633540372670807,0.84,a
0.25000000000000006,139,3,37,96,0.7897727272727273,0.9788732394366197,0.8742138364779874,0.8545454545454545,a
0.30000000000000004,138,4,33,100,0.8070175438596491,0.971830985915493,0.8817891373801917,0.8654545454545455,a
0.3500000000000001,138,4,29,104,0.8263473053892215,0.971830985915493,0.8932038834951456,0.88,a
0.40000000000000013,138,4,26,107,0.8414634146341463,0.971830985915493,0.9019607843137255,0.8909090909090909,a
0.45000000000000007,138,4,21,112,0.8679245283018868,0.971830985915493,0.9169435215946844,0.9090909090909091,a
0.5000000000000001,137,5,19,114,0.8782051282051282,0.9647887323943662,0.9194630872483222,0.9127272727272727,a
0.5500000000000002,137,5,16,117,0.8954248366013072,0.9647887323943662,0.9288135593220339,0.9236363636363636,a
0.6000000000000002,132,10,9,124,0.9361702127659575,0.9295774647887324,0.9328621908127208,0.9309090909090909,a
0.6500000000000001,132,10,8,125,0.9428571428571428,0.9295774647887324,0.9361702127659575,0.9345454545454546,a
0.7000000000000002,131,11,7,126,0.9492753623188406,0.9225352112676056,0.9357142857142856,0.9345454545454546,a
0.7500000000000002,127,15,5,128,0.9621212121212122,0.8943661971830986,0.927007299270073,0.9272727272727272,a
0.8000000000000002,122,20,3,130,0.976,0.8591549295774648,0.9138576779026216,0.9163636363636364,a
0.8500000000000002,110,32,3,130,0.9734513274336283,0.7746478873239436,0.8627450980392156,0.8727272727272727,a
0.9000000000000002,79,63,2,131,0.9753086419753086,0.5563380281690141,0.7085201793721974,0.7636363636363637,a
0.9500000000000003,24,118,0,133,1.0,0.16901408450704225,0.2891566265060241,0.5709090909090909,a
0.1,65,1,22,48,0.7471264367816092,0.9848484848484849,0.8496732026143791,0.8308823529411765,b
0.15000000000000002,65,1,22,48,0.7471264367816092,0.9848484848484849,0.8496732026143791,0.8308823529411765,b
0.20000000000000004,65,1,22,48,0.7471264367816092,0.9848484848484849,0.8496732026143791,0.8308823529411765,b
0.25000000000000006,65,1,21,49,0.7558139534883721,0.9848484848484849,0.8552631578947368,0.8382352941176471,b
0.30000000000000004,65,1,20,50,0.7647058823529411,0.9848484848484849,0.8609271523178808,0.8455882352941176,b
0.3500000000000001,65,1,20,50,0.7647058823529411,0.9848484848484849,0.8609271523178808,0.8455882352941176,b
0.40000000000000013,65,1,18,52,0.7831325301204819,0.9848484848484849,0.87248322147651,0.8602941176470589,b
0.45000000000000007,65,1,17,53,0.7926829268292683,0.9848484848484849,0.8783783783783784,0.8676470588235294,b
0.5000000000000001,65,1,14,56,0.8227848101265823,0.9848484848484849,0.896551724137931,0.8897058823529411,b
0.5500000000000002,65,1,14,56,0.8227848101265823,0.9848484848484849,0.896551724137931,0.8897058823529411,b
0.6000000000000002,64,2,9,61,0.8767123287671232,0.9696969696969697,0.920863309352518,0.9191176470588235,b
0.6500000000000001,64,2,6,64,0.9142857142857143,0.9696969696969697,0.9411764705882354,0.9411764705882353,b
0.7000000000000002,63,3,2,68,0.9692307692307692,0.9545454545454546,0.9618320610687022,0.9632352941176471,b
0.7500000000000002,61,5,2,68,0.9682539682539683,0.9242424242424242,0.9457364341085271,0.9485294117647058,b
0.8000000000000002,59,7,1,69,0.9833333333333333,0.8939393939393939,0.9365079365079364,0.9411764705882353,b
