label,mean,min,max,count
0,1.0943722943722944,0.8095238095238095,1.5238095238095237,55
1,1.1612758310871518,0.8095238095238095,1.6666666666666667,106
2,1.0296756383712906,0.8095238095238095,1.619047619047619,69
3,1.0952380952380951,0.8571428571428571,1.6666666666666667,94
4,1.0678824721377913,0.8571428571428571,1.6666666666666667,94
5,1.0915343915343916,0.9047619047619048,1.6666666666666667,90
6,1.0469576719576719,0.8095238095238095,1.6666666666666667,72
7,1.0793650793650793,0.8571428571428571,1.5714285714285714,90
8,1.0616605616605617,0.8095238095238095,1.6666666666666667,78
9,1.0766917293233083,0.8571428571428571,1.619047619047619,95
a,1.1262557697529187,0.7142857142857143,1.7619047619047619,3683
b,1.0940318226204837,0.7142857142857143,1.7142857142857142,3316
c,0.9107033236867491,0.7142857142857143,1.7142857142857142,2172
d,1.1372119417715274,0.7142857142857143,1.7619047619047619,4825
e,1.1286165016019198,0.7142857142857143,1.8095238095238095,3909
f,1.1485591620427604,0.7142857142857143,1.9523809523809523,4969
g,1.1704818561467958,0.7142857142857143,1.8095238095238095,5211
h,1.1703051935474946,0.7142857142857143,1.7142857142857142,5163
i,1.1463505840443224,0.7142857142857143,1.7619047619047619,4839
j,0.9355267172832192,0.7142857142857143,1.5238095238095237,2653
k,1.1610742496050555,0.7142857142857143,1.9523809523809523,5275
l,1.190924597313076,0.7142857142857143,2.0476190476190474,5416
m,1.3639086280595714,0.7142857142857143,1.7619047619047619,1749
n,1.3869901500628017,0.7619047619047619,1.7142857142857142,2161
o,1.0737310729274299,0.7142857142857143,1.7619047619047619,3733
p,1.0845767043112686,0.7142857142857143,1.7619047619047619,3466
q,1.0541528556424,0.7142857142857143,1.7619047619047619,3491
r,1.1604809739534971,0.7142857142857143,1.8095238095238095,5077
s,1.0914317153411706,0.7142857142857143,1.7142857142857142,4241
t,1.3774629539163001,0.7142857142857143,1.7619047619047619,2047
u,1.1182721182721183,0.7142857142857143,1.7619047619047619,4329
v,1.17764207830433,0.7142857142857143,1.7619047619047619,4983
w,1.0958976746592173,0.7142857142857143,1.9047619047619047,3682
x,1.1670131445029126,0.7142857142857143,1.7619047619047619,4398
y,1.1411037697521758,0.7142857142857143,1.7142857142857142,4454
z,0.9412489728841413,0.7142857142857143,1.6666666666666667,2434
